rank_priority_only,issue_key,project,created_ts,updated_ts,issue_type,status,priority,priority_ordinal,text_len,text
47,AIRFLOW-1539,AIRFLOW,1503958220000,1535980907000,Bug,Closed,Blocker,1,1925,"python3 error import Dag Seeing the following error when using python3 (fine with python2) {code} Traceback (most recent call last): File ""/opt/conda/lib/python3.6/site-packages/airflow/models.py"", line 263, in process_file m = imp.load_source(mod_name, filepath) File ""/opt/conda/lib/python3.6/imp.py"", line 172, in load_source module = _load(spec) File ""<frozen importlib._bootstrap>"", line 675, in _load File ""<frozen importlib._bootstrap>"", line 655, in _load_unlocked File ""<frozen importlib._bootstrap_external>"", line 678, in exec_module File ""<frozen importlib._bootstrap>"", line 205, in _call_with_frames_removed File ""/root/airflow/dags/LoadS3ToHiveTest.py"", line 2, in <module> from LoadS3ToHive import default_args, download_s3_to_hdfs_templated_command, generate_download_s3_to_hdfs_task, \ File ""/root/airflow/dags/LoadS3ToHive.py"", line 74, in <module> globals()[task_name] = DAG(task_name, default_args=default_args, schedule_interval=None) File ""/opt/conda/lib/python3.6/site-packages/airflow/models.py"", line 2664, in __init__ self.fileloc = inspect.getsourcefile(inspect.stack()[1][0]) File ""/opt/conda/lib/python3.6/inspect.py"", line 1465, in stack return getouterframes(sys._getframe(1), context) File ""/opt/conda/lib/python3.6/inspect.py"", line 1442, in getouterframes frameinfo = (frame,) + getframeinfo(frame, context) File ""/opt/conda/lib/python3.6/inspect.py"", line 1411, in getframeinfo filename = getsourcefile(frame) or getfile(frame) File ""/opt/conda/lib/python3.6/inspect.py"", line 666, in getsourcefile if getattr(getmodule(object, filename), '__loader__', None) is not None: File ""/opt/conda/lib/python3.6/inspect.py"", line 703, in getmodule if ismodule(module) and hasattr(module, '__file__'): File ""/opt/conda/lib/python3.6/site-packages/airflow/utils/timeout.py"", line 38, in handle_timeout raise AirflowTaskTimeout(self.error_message) airflow.exceptions.AirflowTaskTimeout: Timeout {code}"
48,AIRFLOW-1641,AIRFLOW,1506332962000,1509112710000,Bug,Closed,Blocker,1,794,"Task gets stuck in queued state Hello, I have one dag with ~20 tasks. The dags runs daily and some tasks can sometime last for hours, depending on the processed data behind. There are some interactions with AWS and a remote DB. I only use LocalExecutor. What this issue is about, is the fact that sometime (randomly, and without any clear reason) one of the tasks (here also, it is random) gets stuck in ""queued"" state and never starts running. The manual workaround is to restart the task manually by clearing it. Does anyone have ideas about the issue behind, and how to avoid it for the future? Thanks in advance for your help. PS: other people are facing the same behaviour: [link|https://stackoverflow.com/questions/45853013/airflow-tasks-get-stuck-at-queued-status-and-never-gets-running]"
49,AIRFLOW-1693,AIRFLOW,1507533365000,1558123699000,Bug,Resolved,Blocker,1,1744,"airflow initdb throws errors I am having installation problems. The log for `airflow initdb` are Traceback (most recent call last): File ""/Users/gauripradeep/ENVS/scheduler/bin/airflow"", line 17, in <module> from airflow import configuration File ""/Users/gauripradeep/ENVS/scheduler/lib/python3.6/site-packages/airflow/__init__.py"", line 30, in <module> from airflow import settings File ""/Users/gauripradeep/ENVS/scheduler/lib/python3.6/site-packages/airflow/settings.py"", line 159, in <module> configure_orm() File ""/Users/gauripradeep/ENVS/scheduler/lib/python3.6/site-packages/airflow/settings.py"", line 147, in configure_orm engine = create_engine(SQL_ALCHEMY_CONN, **engine_args) File ""/Users/gauripradeep/ENVS/scheduler/lib/python3.6/site-packages/sqlalchemy/engine/__init__.py"", line 391, in create_engine return strategy.create(*args, **kwargs) File ""/Users/gauripradeep/ENVS/scheduler/lib/python3.6/site-packages/sqlalchemy/engine/strategies.py"", line 80, in create dbapi = dialect_cls.dbapi(**dbapi_args) File ""/Users/gauripradeep/ENVS/scheduler/lib/python3.6/site-packages/sqlalchemy/dialects/mysql/mysqldb.py"", line 110, in dbapi return __import__('MySQLdb') File ""/Users/gauripradeep/ENVS/scheduler/lib/python3.6/site-packages/MySQLdb/__init__.py"", line 19, in <module> import _mysql ImportError: dlopen(/Users/gauripradeep/ENVS/scheduler/lib/python3.6/site-packages/_mysql.cpython-36m-darwin.so, 2): Library not loaded: /usr/local/opt/mysql/lib/libmysqlclient.20.dylib Referenced from: /Users/gauripradeep/ENVS/scheduler/lib/python3.6/site-packages/_mysql.cpython-36m-darwin.so Reason: image not found Other commands and dependencies pip3 install mysqlclient and pip3 install mysql-connector-python-rf pip3 install airflow[mysql]"
50,AIRFLOW-1711,AIRFLOW,1507839702000,1509388549000,Bug,Resolved,Blocker,1,460,"Ldap Attributes not always a ""list"" part 2 in the LDAP auth module `group_contains_user` checks for `resp['attributes'].get(user_name_attr)[0] == username` Some Ldaps apparently have this as a simple string `resp['attributes'].get(user_name_attr) == username` also should be checked. But really a test should be done to see if the return is a 'list' and perform the check differently. If its not a list, python will check both arguments and exit with an error."
51,AIRFLOW-1731,AIRFLOW,1508334610000,1509113011000,Bug,Resolved,Blocker,1,222,Import custom config on PYTHONPATH Currently the PYTHONPATH does not contain the required path to import a custom config as described. This needs to be fixed and the instructions needs to be updated based on user feedback.
52,AIRFLOW-1744,AIRFLOW,1508524368000,1508870800000,Bug,Resolved,Blocker,1,257,"task.retries can be False When adding the max_tries field task.retries can be False (e.g. in case of a faulty day). At least Postgres will not accept ""False"" for an integer field. It is proposed to set it to try_number in case try_number > 0 otherwise to 1."
53,AIRFLOW-1767,AIRFLOW,1509471930000,1509474151000,Bug,Resolved,Blocker,1,285,Airflow Scheduler no longer schedules DAGs The Airflow Scheduler no longer schedules DAGs after this commit on master: https://github.com/apache/incubator-airflow/commit/73549763eac74142b7c4018422bb2f8c897b45a8 Workers never receive any tasks and the scheduler never adjusts DAG state.
54,AIRFLOW-1891,AIRFLOW,1512640209000,1555601916000,Bug,Resolved,Blocker,1,455,Non-ascii character in default configuration template PR for AIRFLOW-966 introduced a non-ascii character (http://unicode.org/cldr/utility/character.jsp?a=2019) in default_airflow.cfg file that blocks Airflow from running when there is no prior configuration (or the configuration is generated from environment variables for example). More details here: https://github.com/apache/incubator-airflow/commit/aa737a582c687e7105ef934ffc4da3dc78438235#r26094657
55,AIRFLOW-1912,AIRFLOW,1513078723000,1535980389000,Bug,Resolved,Blocker,1,291,The log facility airflow.processor should not propagate The root logger will write to stdout. If redirection is used which is the case for processors and task runs (not runners) this can end up in an endless loop in case propagation is True. airflow.processor should not propagate therefore.
56,AIRFLOW-2007,AIRFLOW,1516088029000,1517666939000,Bug,Closed,Blocker,1,1080,"task failed first and then become green When I start to run a dag which contain only one task, the task failed immediately and then become green later. The task just call linux shell command to copy a big file from a folder to another. When I start the task, it become red(failed)(meanwhile, the dagrun become red too), but the ""copy"" process is running on the shell background normally. Then because the dagrun failed, the dag starts the next dag run and failed again. After the process finished normally, the task become green but the dagrun don't. Check: 1.I have checked the logs but there is no error log found. 2.After check the airflow database, I found task_instance table is inserted a failed task record when the task starts. dag_run table is inserted a running record. After a while the dag_run become failed. 3.For the job table, it is inserted a running record, and become success after the shell command finished.(which is normally process) My question: 1.Why the task failed immediately when it started. 2.Where does the airflow code modify the task_instance table?"
57,AIRFLOW-2008,AIRFLOW,1516125932000,1516280244000,Bug,Resolved,Blocker,1,96,Column default of timezone.utcnow() should be a callable Otherwise it will be all the same value
58,AIRFLOW-2058,AIRFLOW,1517538607000,1620203452000,Bug,Closed,Blocker,1,2540,"Scheduler uses MainThread for DAG file processing By reading the [source code |https://github.com/apache/incubator-airflow/blob/61ff29e578d1121ab4606fe122fb4e2db8f075b9/airflow/utils/dag_processing.py#L538] it appears the scheduler will process each DAG file, either a .py or .zip, using a new process. If I understand correctly, in theory what should happen in terms of processing a .zip file is that the dedicated process will add the .zip file to the PYTHONPATH, and load the file's module and dependency. When the DAG read is done, the process gets destroyed. And since the PYTHONPATH is process scoped, it won't pollute other processes. However by printing out the threads and process id, it looks like Airflow scheduler can sometimes accidentally pick up the main process instead of creating a new one, and that's when collision happens. Here is snippet of the PYTHONPATH when advanced_dag_dependency-1.zip is being processed. As you can see when it's executed by MainThread, it contains other .zip files. When it's using dedicated thread, only required .zip is added. sys.path :['/root/airflow/dags/yang_subdag_2.zip', '/root/airflow/dags/yang_subdag_2.zip', '/root/airflow/dags/yang_subdag_1.zip', '/root/airflow/dags/yang_subdag_1.zip', '/root/airflow/dags/advanced_dag_dependency-2.zip', '/root/airflow/dags/advanced_dag_dependency-2.zip', '/root/airflow/dags/advanced_dag_dependency-1.zip', '/root/airflow/dags/advanced_dag_dependency-1.zip', '/root/airflow/dags/yang_subdag_1', '/usr/local/bin', '/usr/lib/python2.7', '/usr/lib/python2.7/plat-x86_64-linux-gnu', '/usr/lib/python2.7/lib-tk', '/usr/lib/python2.7/lib-old', '/usr/lib/python2.7/lib-dynload', '/usr/local/lib/python2.7/dist-packages', '/usr/lib/python2.7/dist-packages', '/usr/lib/python2.7/dist-packages/PILcompat', '/root/airflow/config', '/root/airflow/dags', '/root/airflow/plugins'] Print from MyFirstOperator in Dag 1 process id: 5059 thread id: <_MainThread(*MainThread*, started 140339858560768)> sys.path :[u'/root/airflow/dags/advanced_dag_dependency-1.zip', '/usr/local/bin', '/usr/lib/python2.7', '/usr/lib/python2.7/plat-x86_64-linux-gnu', '/usr/lib/python2.7/lib-tk', '/usr/lib/python2.7/lib-old', '/usr/lib/python2.7/lib-dynload', '/usr/local/lib/python2.7/dist-packages', '/usr/lib/python2.7/dist-packages', '/usr/lib/python2.7/dist-packages/PILcompat', '/root/airflow/config', '/root/airflow/dags', '/root/airflow/plugins'] Print from MyFirstOperator in Dag 1 process id: 5076 thread id: <_MainThread(*DagFileProcessor283*, started 140137838294784)>"
59,AIRFLOW-2287,AIRFLOW,1523004855000,1523690070000,Improvement,Resolved,Blocker,1,978,"Missing and incorrect license headers * {color:#454545}a few files are missing licenses, like docs/Makefile{color} * {color:#454545}please fix year in notice (""2016 and onwards” makes it a little bard to work out when copyright would expire){color} * {color:#454545}LICENSE is OK but some license texts are missing i.e. Bootstrap Toggle, normalize.css, parallel.js. Note that in order to comply with the terms of the the licenses the full text of the license MUST be included.{color} * {color:#454545}also note that ace and d3 are under a BSD 3 clause not BSD 2 clause{color} * {color:#454545} A large number of files are missing the correct ASF header. (see below){color} ** {color:#454545}Re incorrect header not perfect but shows scope of the issue:{color} *** {color:#454545} find . -name ""*.*"" -exec grep ""contributor license"" {} \; -print | wc{color} *** {color:#454545} find . -name ""*.*"" -exec grep ""[http://www.apache.org/licenses/LICENSE-2.0]"" {} \; -print | wc{color}"
60,AIRFLOW-2288,AIRFLOW,1523004955000,1540313991000,Improvement,Resolved,Blocker,1,131,Source tarball should not extract to root {color:#454545}the src tarball extracting to the current{color} directory was surprising.
61,AIRFLOW-2289,AIRFLOW,1523005004000,1585344026000,Improvement,Closed,Blocker,1,37,Add additional quick start to INSTALL
62,AIRFLOW-2290,AIRFLOW,1523005155000,1562254457000,Improvement,Open,Blocker,1,35,Include CVE references in changelog
63,AIRFLOW-2320,AIRFLOW,1523636561000,1535980215000,Bug,Open,Blocker,1,932,"Can not run DAGs since upgraded from Airflow 1.7 We installed Airflow 1.7, and used it for several months. I used PIP to uninstall ariflow 1.7 and install 1.9 (gory details are [here|[https://stackoverflow.com/questions/49544320/airflow-initdb-failed-importerror-no-module-named-log-logging-mixin]).] Since then, I haven't had a single DAG run. I renamed and moved log files to match the 1.9 expectations, but still nothing happens. I have a ""run every 40 minutes"" DAG, it hasn't run since 3/28. When I manually trigger it, no log file is created, nothing happens except I get a running DAG listed under ""DAG Runs"" (I do NOT get anything listed under ""Recent Tasks"", and ""Last Run"" does not get updated. I have a ""Run once"" DAG that I created. I triggered it, same behavior. I have also tried running the example_bash_operator DAG. Same behavior. (I've attached the example_bash_operator.py file, so we're clear what I tried to run)"
64,AIRFLOW-2355,AIRFLOW,1524299192000,1535911214000,Bug,Resolved,Blocker,1,383,"Airflow trigger tag parameters in subdag The command airflow {color:#8eb021}+_trigger_dag -c ""\{'name':'value'}""_+{color} sends conf parameters only to the parent DAG. I'm using SubDags that are dependent on these parameters. And no parameters are recieved by the SubDag. From source code of SubDag operator I see that there is no way of passing these trigger parameters to a Subdag."
65,AIRFLOW-2374,AIRFLOW,1524661485000,1535911731000,Bug,Resolved,Blocker,1,3966,"Airflow fails to show logs When viewing a log in the webserver, the page shows a loading gif and the log never appears. Looking in the Javascript console, the problem appears to be error 500 when loading the {{get_logs_with_metadata}} endpoint, givving the following trace: {code:java} ____/ ( ( ) ) \___ /( ( ( ) _ )) ) )\ (( ( )( ) ) ( ) ) ((/ ( _( ) ( _) ) ( () ) ) ( ( ( (_) (( ( ) .((_ ) . )_ ( ( ) ( ( ) ) ) . ) ( ) ( ( ( ( ) ( _ ( _) ). ) . ) ) ( ) ( ( ( ) ( ) ( )) ) _)( ) ) ) ( ( ( \ ) ( (_ ( ) ( ) ) ) ) )) ( ) ( ( ( ( (_ ( ) ( _ ) ) ( ) ) ) ( ( ( ( ( ) (_ ) ) ) _) ) _( ( ) (( ( )( ( _ ) _) _(_ ( (_ ) (_((__(_(__(( ( ( | ) ) ) )_))__))_)___) ((__) \\||lll|l||/// \_)) ( /(/ ( ) ) )\ ) ( ( ( ( | | ) ) )\ ) ( /(| / ( )) ) ) )) ) ( ( ((((_(|)_))))) ) ( ||\(|(|)|/|| ) ( |(||(||)|||| ) ( //|/l|||)|\\ \ ) (/ / // /|//||||\\ \ \ \ _) ------------------------------------------------------------------------------- Node: airflow-nods-dev ------------------------------------------------------------------------------- Traceback (most recent call last): File ""/opt/airflow/src/apache-airflow/airflow/utils/log/gcs_task_handler.py"", line 113, in _read remote_log = self.gcs_read(remote_loc) File ""/opt/airflow/src/apache-airflow/airflow/utils/log/gcs_task_handler.py"", line 131, in gcs_read return self.hook.download(bkt, blob).decode() File ""/opt/airflow/src/apache-airflow/airflow/contrib/hooks/gcs_hook.py"", line 107, in download .get_media(bucket=bucket, object=object) \ File ""/usr/local/lib/python3.6/dist-packages/oauth2client/_helpers.py"", line 133, in positional_wrapper return wrapped(*args, **kwargs) File ""/usr/local/lib/python3.6/dist-packages/googleapiclient/http.py"", line 841, in execute raise HttpError(resp, content, uri=self.uri) googleapiclient.errors.HttpError: <HttpError 404 when requesting https://www.googleapis.com/storage/v1/b/bucket-af/o/test-logs%2Fgeneric_transfer_single%2Ftransfer_file%2F2018-04-25T13%3A00%3A51.250983%2B00%3A00%2F1.log?alt=media returned ""Not Found""> During handling of the above exception, another exception occurred: Traceback (most recent call last): File ""/usr/local/lib/python3.6/dist-packages/flask/app.py"", line 1982, in wsgi_app response = self.full_dispatch_request() File ""/usr/local/lib/python3.6/dist-packages/flask/app.py"", line 1614, in full_dispatch_request rv = self.handle_user_exception(e) File ""/usr/local/lib/python3.6/dist-packages/flask/app.py"", line 1517, in handle_user_exception reraise(exc_type, exc_value, tb) File ""/usr/local/lib/python3.6/dist-packages/flask/_compat.py"", line 33, in reraise raise value File ""/usr/local/lib/python3.6/dist-packages/flask/app.py"", line 1612, in full_dispatch_request rv = self.dispatch_request() File ""/usr/local/lib/python3.6/dist-packages/flask/app.py"", line 1598, in dispatch_request return self.view_functions[rule.endpoint](**req.view_args) File ""/usr/local/lib/python3.6/dist-packages/flask_admin/base.py"", line 69, in inner return self._run_view(f, *args, **kwargs) File ""/usr/local/lib/python3.6/dist-packages/flask_admin/base.py"", line 368, in _run_view return fn(self, *args, **kwargs) File ""/usr/local/lib/python3.6/dist-packages/flask_login.py"", line 758, in decorated_view return func(*args, **kwargs) File ""/opt/airflow/src/apache-airflow/airflow/www/utils.py"", line 269, in wrapper return f(*args, **kwargs) File ""/opt/airflow/src/apache-airflow/airflow/utils/db.py"", line 74, in wrapper return func(*args, **kwargs) File ""/opt/airflow/src/apache-airflow/airflow/www/views.py"", line 770, in get_logs_with_metadata logs, metadatas = handler.read(ti, try_number, metadata=metadata) File ""/opt/airflow/src/apache-airflow/airflow/utils/log/file_task_handler.py"", line 164, in read log, metadata = self._read(task_instance, try_number, metadata) File ""/opt/airflow/src/apache-airflow/airflow/utils/log/gcs_task_handler.py"", line 120, in _read log += super(GCSTaskHandler, self)._read(ti, try_number) TypeError: must be str, not tuple{code}"
66,AIRFLOW-2387,AIRFLOW,1524850925000,1524858483000,Bug,Closed,Blocker,1,265,Flask 0.12.3 broke web component Recent release of flask 0.12.3 broke the webinterface with this message. Since requirement is >0.12 and < 0.13 any recent build will be broke {code:java} AttributeError: 'Blueprint' object has no attribute 'json_encoder' flask{code}
67,AIRFLOW-2453,AIRFLOW,1526027178000,1535911582000,Bug,Resolved,Blocker,1,1878,"Airflow init fail due lack of default settings kubernetes executor Since last changes in kubernetes config management for kubernetes executor, startup of airflow raise an exception if you dont have setted kubernetes/git_subpath which is was working previous this commit: [https://github.com/apache/incubator-airflow/commit/16bae5634df24132b37eb752fe816f51bf7e83ca#diff-b1d8d65aeaa7d031dfe5b197d6c5aa69L131] This is the trace: [2018-05-11 08:21:57,164] \{configuration.py:212} WARNING - section/key [kubernetes/git_subpath] not found in config Traceback (most recent call last): File ""/usr/local/bin/airflow"", line 22, in <module> from airflow.bin.cli import CLIFactory File ""/usr/local/lib/python2.7/dist-packages/airflow/bin/cli.py"", line 57, in <module> from airflow import jobs, settings File ""/usr/local/lib/python2.7/dist-packages/airflow/jobs.py"", line 71, in <module> class BaseJob(Base, LoggingMixin): File ""/usr/local/lib/python2.7/dist-packages/airflow/jobs.py"", line 103, in BaseJob executor=executors.GetDefaultExecutor(), File ""/usr/local/lib/python2.7/dist-packages/airflow/executors/__init__.py"", line 45, in GetDefaultExecutor DEFAULT_EXECUTOR = _get_executor(executor_name) File ""/usr/local/lib/python2.7/dist-packages/airflow/executors/__init__.py"", line 83, in _get_executor return KubernetesExecutor() File ""/usr/local/lib/python2.7/dist-packages/airflow/contrib/executors/kubernetes_executor.py"", line 440, in __init__ self.kube_config = KubeConfig() File ""/usr/local/lib/python2.7/dist-packages/airflow/contrib/executors/kubernetes_executor.py"", line 117, in __init__ self.git_subpath = conf.get(self.kubernetes_section, 'git_subpath') File ""/usr/local/lib/python2.7/dist-packages/airflow/configuration.py"", line 217, in get ""in config"".format(**locals())) airflow.exceptions.AirflowConfigException: section/key [kubernetes/git_subpath] not found in config"
68,AIRFLOW-2462,AIRFLOW,1526283251000,1535911320000,Bug,Resolved,Blocker,1,303,"airflow.contrib.auth.backends.password_auth.PasswordUser exists bug PasswordUser {quote} @password.setter def _set_password(self, plaintext): self._password = generate_password_hash(plaintext, 12) if PY3: self._password = str(self._password, 'utf-8') {quote} _set_password should be renamed as password."
69,AIRFLOW-2466,AIRFLOW,1526337663000,1535911347000,Bug,Resolved,Blocker,1,457,"_change_state_for_tis_without_dagrun ignores task_id on non-sqlite dbs This filter is supposed to choose tasks based on the subquery: [https://github.com/apache/incubator-airflow/blob/master/airflow/jobs.py#L1013] The filter, however, does not specify task_id, so it will indiscriminately change all tasks on a DagRun if anything matches. This can result in tasks succeeding and then being remarked as failed when a DagRun fails because of a different task."
70,AIRFLOW-2533,AIRFLOW,1527591716000,1535911323000,Bug,Resolved,Blocker,1,397,"Kubernetes worker configuration improperly sets path to DAG on worker node When triggering a DAG using the kubernetes executor, the path to the DAG on the worker node is not properly set due to the modification of the command that is sent to the pod for the worker node to perform. See !Screen Shot 2018-05-24 at 5.06.25 PM.png! This means that the only DAG's that are working at the example DAGs."
71,AIRFLOW-2573,AIRFLOW,1528320260000,1547920258000,Bug,Resolved,Blocker,1,560,"Cast TIMESTAMP field to float rather than int In current bigquery_hook.py, we have a `_bq_cast(string_field, bq_type)` function that help casts a BigQuery row to the appropriate data types. {quote}elif bq_type == 'INTEGER' or bq_type == 'TIMESTAMP': return int(string_field) {quote} However, when a bq_type equals to 'TIMESTAMP', it causes ValueError. {quote}>>> int('1.458668898E9') ValueError: invalid literal for int() with base 10: '1.458668898E9' {quote} Because 'TIMESTAMP' in bigquery is stored as double in python, thus should be cast to float instead."
72,AIRFLOW-2624,AIRFLOW,1529025673000,1535911173000,Bug,Closed,Blocker,1,416,"Airflow webserver broken out of the box `airflow webserver` and then click on any DAG, I get ``` File ""/Users/kevin_yang/ext_repos/incubator-airflow/airflow/www/utils.py"", line 364, in view_func return f(*args, **kwargs) File ""/Users/kevin_yang/ext_repos/incubator-airflow/airflow/www/utils.py"", line 251, in wrapper user = current_user.user.username AttributeError: 'NoneType' object has no attribute 'username' ```"
73,AIRFLOW-2697,AIRFLOW,1530279448000,1579455908000,Improvement,Open,Blocker,1,590,"Drop snakebite in favour of pyarrow The current HdfsHook relies on the snakebite library, which is unfortunately not compatible with Python 3. To add Python 3 support for the HdfsHook requires switching to a different library for interacting with HDFS. The hdfs3 library is an attractive alternative, as it supports Python 3 and seems to be stable and relatively well supported. Update: hdfs3 doesn't get any updates anymore. The best library right now seems to be pyarrow: https://arrow.apache.org/docs/python/filesystems.html Therefore I would like to upgrade to pyarrow instead of hdfs3."
74,AIRFLOW-2834,AIRFLOW,1533104423000,1554986424000,Bug,Resolved,Blocker,1,262,can not see the dag page after build from the newest code in github after build and deploy the newest version of code from github. got the web server opened and the dags page blank with the following error in request resource. !image-2018-08-01-14-20-09-256.png!
75,AIRFLOW-2859,AIRFLOW,1533536201000,1535027289000,Bug,Resolved,Blocker,1,186,DateTimes returned from the database are not converted to UTC This is due to the fact that sqlalchemy-utcdatetime does not convert to UTC when the database returns datetimes with tzinfo.
76,AIRFLOW-2870,AIRFLOW,1533681611000,1534076792000,Bug,Closed,Blocker,1,1493,"Migrations fail when upgrading from below cc1e65623dc7_add_max_tries_column_to_task_instance Running migrations from below cc1e65623dc7_add_max_tries_column_to_task_instance.py fail with: {noformat} INFO [alembic.runtime.migration] Context impl PostgresqlImpl. INFO [alembic.runtime.migration] Will assume transactional DDL. INFO [alembic.runtime.migration] Running upgrade 127d2bf2dfa7 -> cc1e65623dc7, add max tries column to task instance Traceback (most recent call last): File ""/usr/local/lib/python3.6/site-packages/sqlalchemy/engine/base.py"", line 1182, in _execute_context context) File ""/usr/local/lib/python3.6/site-packages/sqlalchemy/engine/default.py"", line 470, in do_execute cursor.execute(statement, parameters) psycopg2.ProgrammingError: column task_instance.executor_config does not exist LINE 1: ...ued_dttm, task_instance.pid AS task_instance_pid, task_insta... {noformat} The failure is occurring because cc1e65623dc7_add_max_tries_column_to_task_instance.py imports TaskInstance from the current code version, which has changes to the task_instance table that are not expected by the migration. Specifically, 27c6a30d7c24_add_executor_config_to_task_instance.py adds an executor_config column that does not exist as of when cc1e65623dc7_add_max_tries_column_to_task_instance.py is run. It is worth noting that this will not be observed for new installs because the migration branches on table existence/non-existence at a point that will hide the issue from new installs."
77,AIRFLOW-2881,AIRFLOW,1533835113000,1555353758000,Task,Resolved,Blocker,1,385,Add compile_assets to Release Process Documentation AIRFLOW-2691 introduced a `compile_assets` command in setup.py that is required during a release. This should be added to the [release notes|https://cwiki.apache.org/confluence/display/AIRFLOW/Releasing+Airflow#ReleasingAirflow-PublishingtoPyPi] after 1.10.x has been released. {code:java} python setup.py compile_assets sdist {code}
78,AIRFLOW-2898,AIRFLOW,1534254553000,1559208556000,Bug,Closed,Blocker,1,595,"Task not entering queued state for pool I have a pool of 3 and have several jobs (over 10) which use the pool. Tasks timeout (after 10 mins) from being stuck in scheduled state when the tasks should be in queued state for the pool. to reproduce: use attached dag, and create a pool called ""backfill"" with 2 slots start the dag, and go to this url - > <your_server_addr_here>/admin/taskinstance/?flt0_pool_equals=backfill you'll see two light green ""running"" state, loads of white ""scheduled"" state and none in grey ""queued"" state. what I expect would be two in running, the rest in queued state."
79,AIRFLOW-2934,AIRFLOW,1534932541000,1558132710000,Bug,Resolved,Blocker,1,373,"Pools not respected for internal subdag tasks I'm trying to have some subdags execute one task at a time. The way I found was to create a first pool for the SubdagOperators (pool1 in the attached code file) and a second one for the internal tasks (pool2). However, it appears that pools for subdag elements are not being respected. Running airflow 1.9.0 with LocalExecutor."
80,AIRFLOW-2952,AIRFLOW,1535063109000,1547067304000,Bug,Resolved,Blocker,1,481,Dockerized CI pipeline has silently broken integration testing for KubernetesExecutor [~gcuriel] [~bolke] [~Fokko] Looking at all recent builds the new CI pipeline is silently reverting the kubernetes tests to the normal airflow tests. Before https://travis-ci.org/apache/incubator-airflow/jobs/418914949#L1007 After: [https://travis-ci.org/apache/incubator-airflow/jobs/419062412#L4970] This means that kubernetes builds will pass without actually testing on a kubernetes cluster.
81,AIRFLOW-3032,AIRFLOW,1536570441000,1572965437000,Bug,Resolved,Blocker,1,726,"_pickle.UnpicklingError with using remote MySQL Server Hello, I am running Airflow 1.9.0 successfully with a localhost MySQL database, version 5.7.23. I switched sql_alchemy_conn = mysql://airflow:<password>@<remote-host>:3306/airflow in order to use the proper MySQL server - same version 5.7.23. I created a dump from my local instance to the remote one. Issue: * When tasks are executed by the scheduler everything runs fine, tasks are executed and DB updated * When manually triggering a task via the webserver, I am getting ""_pickle.UnpicklingError"" please see error__log.txt for full log In the end, I only changed this one line in airflow.cfg which is causing that I can not use it with a remote MySQL server. Best, Max"
